classid,trainlen
961962,70
453752,70
198427,70
651347,70
961362,70
409854,70
194450,70
527809,70
628041,70
209945,70
883691,70
482497,70
395234,70
714152,70
614059,70
379876,70
125403,70
472603,70
304458,70
713651,70
354068,70
603972,70
321683,70
291086,70
559132,70
290854,70
682651,70
580470,70
914348,70
580634,70
136916,70
819061,70
576298,70
468392,70
735971,70
384924,70
281301,70
597927,70
248352,70
425432,70
178529,70
349023,70
265980,69
923841,68
732758,67
745137,66
786351,62
347384,61
291514,62
905745,60
175962,59
651782,56
221795,55
671482,54
871642,54
308913,52
854079,52
621073,51
356986,50
560265,49
436105,48
360648,46
124140,42
496459,42
281792,41
289386,41
739296,40
219195,39
978089,39
591790,39
649213,38
714860,38
741152,37
963845,37
587678,36
350259,34
924154,34
270690,34
416749,33
103507,32
401052,30
692703,30
437598,29
750340,28
206765,28
654134,28
516750,27
810398,27
348641,26
492952,24
510309,23
736094,22
186250,21
953842,21
250658,20
540712,20
526401,20
378356,20
245609,19
851857,19
289403,18
412240,18
481950,17
619401,16
950264,16
392593,15
683364,14
693436,14
743957,14
379265,14
948936,13
973106,12
501564,12
249875,12
378536,12
475895,12
302513,12
569154,12
527765,11
760412,13
815230,10
890189,10
789290,8
437063,8
854548,8
861459,8
714150,7
169673,5
842246,5
687270,5
417803,4
612523,4
905061,4
340175,4
872180,4
725137,3
359378,2
376193,2
653436,2
194201,2
