class_id,predict_date,predict_quantity
103507,201711,2183
124140,201711,1421
125403,201711,1424
136916,201711,2307
169673,201711,162
175962,201711,2219
178529,201711,4103
186250,201711,449
194201,201711,724
194450,201711,2174
198427,201711,600
206765,201711,5760
209945,201711,1891
219195,201711,878
221795,201711,1801
245609,201711,434
248352,201711,3087
249875,201711,481
250658,201711,430
265980,201711,2199
270690,201711,6627
281301,201711,3907
281792,201711,2661
289386,201711,848
289403,201711,1060
290854,201711,2512
291086,201711,3417
291514,201711,558
302513,201711,384
304458,201711,3048
308913,201711,1715
321683,201711,8252
340175,201711,407
347384,201711,18818
348641,201711,1534
349023,201711,5024
350259,201711,1691
354068,201711,5613
356986,201711,1614
359378,201711,171
360648,201711,2007
376193,201711,237
378356,201711,1272
378536,201711,428
379265,201711,1107
379876,201711,1492
384924,201711,5494
392593,201711,722
395234,201711,960
401052,201711,1350
409854,201711,5672
412240,201711,356
416749,201711,856
417803,201711,263
425432,201711,5759
436105,201711,4632
437063,201711,436
437598,201711,1175
453752,201711,1644
468392,201711,3493
472603,201711,1673
475895,201711,309
481950,201711,375
482497,201711,1130
492952,201711,699
496459,201711,2154
501564,201711,380
510309,201711,202
516750,201711,608
526401,201711,1240
527765,201711,1505
527809,201711,1863
540712,201711,2485
559132,201711,2150
560265,201711,1312
569154,201711,668
576298,201711,2357
580470,201711,3770
580634,201711,1275
587678,201711,1598
591790,201711,1825
597927,201711,2859
603972,201711,5013
612523,201711,351
614059,201711,2438
619401,201711,637
621073,201711,11260
628041,201711,3126
649213,201711,310
651347,201711,2037
651782,201711,507
653436,201711,423
654134,201711,6281
671482,201711,753
682651,201711,2705
683364,201711,143
687270,201711,1624
692703,201711,1051
693436,201711,873
713651,201711,1606
714150,201711,380
714152,201711,1700
714860,201711,4116
725137,201711,428
732758,201711,1488
735971,201711,14347
736094,201711,1200
739296,201711,7525
741152,201711,1616
743957,201711,1356
745137,201711,4036
750340,201711,300
760412,201711,292
786351,201711,2588
789290,201711,323
810398,201711,478
815230,201711,485
819061,201711,2867
842246,201711,321
851857,201711,498
854079,201711,1214
854548,201711,459
861459,201711,1044
871642,201711,1609
872180,201711,518
883691,201711,2443
890189,201711,3204
905061,201711,459
905745,201711,2394
914348,201711,2990
923841,201711,3905
924154,201711,1466
948936,201711,186
950264,201711,3413
953842,201711,2070
961362,201711,1097
961962,201711,1228
963845,201711,1857
973106,201711,365
978089,201711,2625
