class_id,predict_date,predict_quantity
103507,201711,274
124140,201711,209
125403,201711,188
136916,201711,188
169673,201711,107
175962,201711,191
178529,201711,416
186250,201711,290
194201,201711,331
194450,201711,100
198427,201711,50
206765,201711,800
209945,201711,239
219195,201711,81
221795,201711,283
245609,201711,142
248352,201711,159
249875,201711,86
250658,201711,298
265980,201711,234
270690,201711,663
281301,201711,650
281792,201711,282
289386,201711,262
289403,201711,112
290854,201711,176
291086,201711,381
291514,201711,10
302513,201711,0
304458,201711,253
308913,201711,213
321683,201711,653
340175,201711,84
347384,201711,824
348641,201711,352
349023,201711,760
350259,201711,249
354068,201711,415
356986,201711,366
359378,201711,45
360648,201711,128
376193,201711,108
378356,201711,285
378536,201711,82
379265,201711,163
379876,201711,151
384924,201711,595
392593,201711,127
395234,201711,76
401052,201711,169
409854,201711,454
412240,201711,65
416749,201711,128
417803,201711,7
425432,201711,709
436105,201711,216
437063,201711,132
437598,201711,89
453752,201711,309
468392,201711,211
472603,201711,121
475895,201711,155
481950,201711,99
482497,201711,323
492952,201711,155
496459,201711,198
501564,201711,168
510309,201711,147
516750,201711,74
526401,201711,327
527765,201711,0
527809,201711,231
540712,201711,302
559132,201711,81
560265,201711,218
569154,201711,164
576298,201711,194
580470,201711,329
580634,201711,140
587678,201711,138
591790,201711,258
597927,201711,332
603972,201711,280
612523,201711,110
614059,201711,313
619401,201711,166
621073,201711,710
628041,201711,289
649213,201711,138
651347,201711,103
651782,201711,190
653436,201711,179
654134,201711,319
671482,201711,46
682651,201711,323
683364,201711,4
687270,201711,340
692703,201711,321
693436,201711,172
713651,201711,181
714150,201711,233
714152,201711,232
714860,201711,121
725137,201711,72
732758,201711,184
735971,201711,799
736094,201711,241
739296,201711,499
741152,201711,453
743957,201711,580
745137,201711,347
750340,201711,53
760412,201711,12
786351,201711,209
789290,201711,30
810398,201711,68
815230,201711,192
819061,201711,275
842246,201711,161
851857,201711,176
854079,201711,264
854548,201711,86
861459,201711,322
871642,201711,168
872180,201711,116
883691,201711,330
890189,201711,662
905061,201711,178
905745,201711,156
914348,201711,250
923841,201711,720
924154,201711,721
948936,201711,13
950264,201711,742
953842,201711,706
961362,201711,22
961962,201711,61
963845,201711,141
973106,201711,49
978089,201711,225
